State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Prediction2001,Prediction2002,Prediction2003,MeanPre,SDPre,Zscore,Zscore2,Zscore3
MI,ccbackgroundnics,implemented,2015,476,464,463,449,429,442,417,467,422,368,424,418,461,525,429,358,394,429,452.000000000004,440.000000000006,428.000000000007,435.647058823529,40.6339469785895,0.402445304786435,0.10712572861233,-0.188193847561777
MO,nosyg,removal,2016,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,244.999999999997,260.999999999995,276.999999999992,282.777777777778,65.4662513464722,-0.577057292891976,-0.332656557078959,-0.0882558212659414
PA,mcdv,implemented,2006,409,424,433,415,435,468,529,578,541,527,496,473,491,555,475,451,498,489,439,453.999999999998,468.999999999996,461.375,60.9565126017838,-0.36706496229814,-0.120987892601096,0.125089177095949
PA,mcdvsurrender,implemented,2006,409,424,433,415,435,468,529,578,541,527,496,473,491,555,475,451,498,489,439,453.999999999998,468.999999999996,461.375,60.9565126017838,-0.36706496229814,-0.120987892601096,0.125089177095949
PA,mcdvsurrendernoconditions,implemented,2006,409,424,433,415,435,468,529,578,541,527,496,473,491,555,475,451,498,489,439,453.999999999998,468.999999999996,461.375,60.9565126017838,-0.36706496229814,-0.120987892601096,0.125089177095949
PA,strawpurchaseh,implemented,2008,409,424,433,415,435,468,529,578,541,527,496,473,491,555,475,451,498,489,439,453.999999999998,468.999999999996,475.9,61.9559879627825,-0.595584078526293,-0.353476729531898,-0.111369380537502
PA,nosyg,removal,2011,409,424,433,415,435,468,529,578,541,527,496,473,491,555,475,451,498,489,439,453.999999999998,468.999999999996,478.384615384615,54.0887210385839,-0.728148394496525,-0.450826252061363,-0.1735041096262
TX,nosyg,removal,2007,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,859.888888888889,90.4508767846455,-0.739505146513352,-0.374666228715298,-0.00982731091724293
TX,exparte,implemented,2008,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,867.5,88.6093172928847,-0.840769371394128,-0.468348039098804,-0.0959267068034794
TX,expartedating,implemented,2008,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,867.5,88.6093172928847,-0.840769371394128,-0.468348039098804,-0.0959267068034794
TX,ccrevoke,implemented,2009,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,872.272727272727,85.5395708536007,-0.926737490984172,-0.540951127191512,-0.155164763398852
TX,collegeconcealed,removal,2016,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,872.777777777778,94.8395273486346,-0.841187003015234,-0.493230819316789,-0.145274635618344
TX,opencarryh,removal,2016,727,760,805,809,881,877,933,961,986,936,920,859,748,799,810,846,969,1084,792.999999999999,825.999999999994,858.999999999989,872.777777777778,94.8395273486346,-0.841187003015234,-0.493230819316789,-0.145274635618344
